original,corrected
میلیونها,میلیون‌ها
میلیون ها,میلیون‌ها
میماساند,می‌ماساند
می ماساند,می‌ماساند
میمالند,می‌مالند
می مالند,می‌مالند
میمالید,می‌مالید
می مالید,می‌مالید
میماند,می‌ماند
می ماند,می‌ماند
میماندند,می‌ماندند
می ماندند,می‌ماندند
میمانند,می‌مانند
می مانند,می‌مانند
میمانیم,می‌مانیم
می مانیم,می‌مانیم
میمرد,می‌مرد
می مرد,می‌مرد
میمونه,می‌مونه
می مونه,می‌مونه
میمونها,میمون‌ها
میمون ها,میمون‌ها
میمیرد,می‌میرد
می میرد,می‌میرد
میمیرم,می‌میرم
می میرم,می‌میرم
میمیره,می‌میره
می میره,می‌میره
میمیریم,می‌میریم
می میریم,می‌میریم
مینازد,می‌نازد
می نازد,می‌نازد
مینازید,می‌نازید
می نازید,می‌نازید
مینالد,می‌نالد
می نالد,می‌نالد
مینالید,می‌نالید
می نالید,می‌نالید
مینالیدند,می‌نالیدند
می نالیدند,می‌نالیدند
مینامد,می‌نامد
می نامد,می‌نامد
مینامم,می‌نامم
می نامم,می‌نامم
مینامند,می‌نامند
می نامند,می‌نامند
مینامید,می‌نامید
می نامید,می‌نامید
مینامیدند,می‌نامیدند
می نامیدند,می‌نامیدند
مینخوری,می‌نخوری
می نخوری,می‌نخوری
میانداز,می‌نداز
می نداز,می‌نداز
می ندازه,می‌ندازه
میندازید,می‌ندازید
می ندازید,می‌ندازید
میندازین,می‌ندازین
می ندازین,می‌ندازین
مینشاند,می‌نشاند
می نشاند,می‌نشاند
مینشست,می‌نشست
می نشست,می‌نشست
مینشستند,می‌نشستند
می نشستند,می‌نشستند
مینشیند,می‌نشیند
می نشیند,می‌نشیند
مینشینم,می‌نشینم
می نشینم,می‌نشینم
مینشینند,می‌نشینند
می نشینند,می‌نشینند
مینگریست,می‌نگریست
می نگریست,می‌نگریست
مینگریستند,می‌نگریستند
می نگریستند,می‌نگریستند
مینماید,می‌نماید
می نماید,می‌نماید
مینمود,می‌نمود
می نمود,می‌نمود
مینمودند,می‌نمودند
می نمودند,می‌نمودند
مینها,مین‌ها
مین ها,مین‌ها
مینوازد,می‌نوازد
می نوازد,می‌نوازد
مینوانید,می‌نوانید
می نوانید,می‌نوانید
مینوشت,می‌نوشت
می نوشت,می‌نوشت
مینوشتم,می‌نوشتم
می نوشتم,می‌نوشتم
مینوشتند,می‌نوشتند
می نوشتند,می‌نوشتند
مینوشیم,می‌نوشیم
می نوشیم,می‌نوشیم
مینویسد,می‌نویسد
می نویسد,می‌نویسد
مینویسم,می‌نویسم
می نویسم,می‌نویسم
مینویسند,می‌نویسند
می نویسند,می‌نویسند
مینویسید,می‌نویسید
می نویسید,می‌نویسید
میهماننواز,میهمان‌نواز
میهمان نواز,میهمان‌نواز
میورزد,می‌ورزد
می ورزد,می‌ورزد
میورزند,می‌ورزند
می ورزند,می‌ورزند
میوزید,می‌وزید
می وزید,می‌وزید
میوه جات,میوه‌جات
میوه خوری,میوه‌خوری
میوه ها,میوه‌ها
میوه های,میوه‌های
میوه هایشان,میوه‌هایشان
مییابد,می‌یابد
می یابد,می‌یابد
مییابند,می‌یابند
می یابند,می‌یابند
مییاد,می‌یاد
می یاد,می‌یاد
نا آشکار,ناآشکار
نا آشنا,ناآشنا
نا آگاهی,ناآگاهی
نا امید کننده,ناامیدکننده
نا امیدی,ناامیدی
نا اهل,نااهل
نا بارور,نابارور
نا بالغ,نابالغ
نا باوری,ناباوری
نابتر,ناب‌تر
ناب تر,ناب‌تر
نا به خردانه,نابخردانه
نا بخردانه ی,نابخردانه ی
نا بخشودنی,نابخشودنی
نا برابر,نابرابر
نا برابری,نابرابری
نابرابریهای,نابرابری‌های
نابرابری های,نابرابری‌های
نا برادری,نابرادری
نابسامانیهای,نابسامانی‌های
نابسامانی های,نابسامانی‌های
نابغه های,نابغه‌های
نابجایی,نابه‌جایی
نابه جایی,نابه‌جایی
نا به هنجار,نابهنجار
نا بینا,نابینا
نا بینایان,نابینایان
نا بینا یت,نابینایت
نا پایا,ناپایا
نا پایدار,ناپایدار
ناپایداریهای,ناپایداری‌های
ناپایداری های,ناپایداری‌های
نا پذیرفتنی,ناپذیرفتنی
نا پذیری,ناپذیری
نا پسند,ناپسند
نا پسندی,ناپسندی
نا پشیمان,ناپشیمان
نا پویا,ناپویا
نا تمام,ناتمام
نا توانند,ناتوانند
نا توانی,ناتوانی
ناجنب ا,ناجنبا
نا جوانمردانه,ناجوانمردانه
نا جوانمردانه ای,ناجوانمردانه‌ای
ناجوانمردانه ای,ناجوانمردانه‌ای
ناجوانمردانه ی,ناجوانمردانه‌ی
ناحیه ای,ناحیه‌ای
ناحیه ی,ناحیه‌ی
نا خالصیهای,ناخالصی‌های
ناخالصی های,ناخالصی‌های
نا خشنود,ناخشنود
ناخنهاش,ناخن‌هاش
ناخن هاش,ناخن‌هاش
ناخنهای,ناخن‌های
ناخن های,ناخن‌های
ناخنهایش,ناخن‌هایش
ناخن هایش,ناخن‌هایش
ناخنهایم,ناخن‌هایم
ناخن هایم,ناخن‌هایم
نا خوانا,ناخوانا
ناخود آگاه,ناخودآگاه
نا خوش,ناخوش
نا خوشایندی,ناخوشایندی
نا درست,نادرست
نا درستی,نادرستی
نادر شاه,نادرشاه
نا رسا,نارسا
نارساییهای,نارسایی‌های
نارسایی های,نارسایی‌های
نا رضایتی,نارضایتی
نارضایتیها,نارضایتی‌ها
نارضایتی ها,نارضایتی‌ها
نارضایتیهای,نارضایتی‌های
نارضایتی های,نارضایتی‌های
نارنجکانداز,نارنجک‌انداز
نارنجک انداز,نارنجک‌انداز
نا روا,ناروا
نازمستی,ناز مستی
نازیها,نازی‌ها
نازی ها,نازی‌ها
نا سازگار,ناسازگار
نا سازگاران,ناسازگاران
ناسازگاریها,ناسازگاری‌ها
ناسازگاری ها,ناسازگاری‌ها
نا سازه,ناسازه
نا شایست,ناشایست
نا شایستگی,ناشایستگی
ناشرافت مندانه,ناشرافتمندانه
نا شکری,ناشکری
نا شکیبایی,ناشکیبایی
نا شناخته,ناشناخته
ناشناخته ها,ناشناخته‌ها
ناشناخته ی,ناشناخته‌ی
ناشیانه ای,ناشیانه‌ای
نا صاف,ناصاف
نا صالح,ناصالح
ناصر الدین,ناصرالدین
ناصیهاش,ناصی‌هاش
ناصی هاش,ناصی‌هاش
نافرخندهای,نافرخنده‌ای
نافرخنده ای,نافرخنده‌ای
نا فرمان,نافرمان
نا فرمانی,نافرمانی
نا فرهیخته,نافرهیخته
ناقصالخلقه,ناقص‌الخلقه
ناقص الخلقه,ناقص‌الخلقه
ناقوسهای,ناقوس‌های
ناقوس های,ناقوس‌های
نا کارآمد,ناکارآمد
نا کافی,ناکافی
ناکنشور,ناکنش‌ور
ناکنش ور,ناکنش‌ور
ناگزیر ساز,ناگزیرساز
نامآور,نام‌آور
نام آور,نام‌آور
نا مادری,نامادری
نا متعادل,نامتعادل
نا محدود,نامحدود
نا محدوده,نامحدوده
نا مربوط,نامربوط
نا مرتب,نامرتب
نا مرغوب,نامرغوب
نامزد های,نامزدهای
نا مستدل,نامستدل
نا مطلوب,نامطلوب
نا مطلوبی,نامطلوبی
نا مطمئن,نامطمئن
نا معتبر,نامعتبر
نا معتدل,نامعتدل
نا معلوم,نامعلوم
نا معلومی,نامعلومی
نا مغذی,نامغذی
نا مفهوم,نامفهوم
نا ملموس,ناملموس
نا مناسب,نامناسب
نا مناسبی,نامناسبی
نامنویسی,نام‌نویسی
نام نویسی,نام‌نویسی
نامه دانهای,نامه دان‌های
نامه دان های,نامه دان‌های
نامه ام,نامه‌ام
نامهای,نام‌های
نام های,نام‌های
نامهایی,نام‌هایی
نام هایی,نام‌هایی
نامه پرانی,نامه‌پرانی
نامه رسانی,نامه‌رسانی
نامه نویسی,نامه‌نویسی
نامه ها,نامه‌ها
نامه های,نامه‌های
نا موزونی,ناموزونی
نا میزان,نامیزان
نانآور,نان‌آور
نان آور,نان‌آور
نا نجیبی,نانجیبی
نانها,نان‌ها
نان ها,نان‌ها
نانواییها,نانوایی‌ها
نانوایی ها,نانوایی‌ها
ناهستنما,ناهست‌نما
ناهست نما,ناهست‌نما
ناهماندیشی,ناهم‌اندیشی
ناهم اندیشی,ناهم‌اندیشی
نا هماهنگ,ناهماهنگ
ناهمخوان,ناهم‌خوان
ناهم خوان,ناهم‌خوان
نا هنجاری,ناهنجاری
نا وابسته,ناوابسته
ناور ی,ناوری
ناو سان,ناوسان
نایبالسلطنه,نایب‌السلطنه
نایب السلطنه,نایب‌السلطنه
نبرد گاه,نبردگاه
نبرد ها,نبردها
نبرد های,نبردهای
نبوده ام,نبوده‌ام
نبوده اند,نبوده‌اند
نتیجه ای,نتیجه‌ای
نتیجه گیری,نتیجه‌گیری
نتیجه گیریهای,نتیجه‌گیری‌های
نتیجه گیری های,نتیجه‌گیری‌های
نتیجه‌گیری های,نتیجه‌گیری‌های
نتیجه گیری‌های,نتیجه‌گیری‌های
نتیجه ی,نتیجه‌ی
نثار مان,نثارمان
نجفآباد,نجف‌آباد
نجف آباد,نجف‌آباد
نجیبزادگان,نجیب‌زادگان
نجیب زادگان,نجیب‌زادگان
نحوه ی,نحوه‌ی
نخراشیده ای,نخراشیده‌ای
نخریده ام,نخریده‌ام
نخستوزیر,نخست‌وزیر
نخست وزیر,نخست‌وزیر
نخنما,نخ‌نما
نخ نما,نخ‌نما
نخورده ای,نخورده‌ای
نداده ام,نداده‌ام
نداده اند,نداده‌اند
نداشته اند,نداشته‌اند
نداشته ایم,نداشته‌ایم
ندیده اید,ندیده‌اید
نرده کشی,نرده‌کشی
نرده ها,نرده‌ها
نرده های,نرده‌های
نرده ی,نرده‌ی
نرفته ام,نرفته‌ام
نرمافزار,نرم‌افزار
نرم افزار,نرم‌افزار
نرمافزارش,نرم‌افزارش
نرم افزارش,نرم‌افزارش
نرمافزارها,نرم‌افزارها
نرم افزارها,نرم‌افزارها
نرمافزارهای,نرم‌افزارهای
نرم افزارهای,نرم‌افزارهای
نرمافزارهایمان,نرم‌افزارهایمان
نرم افزارهایمان,نرم‌افزارهایمان
نرمافزاری,نرم‌افزاری
نرم افزاری,نرم‌افزاری
نرمتر,نرم‌تر
نرم تر,نرم‌تر
نرمتراند,نرم‌ترند
نرم ترند,نرم‌ترند
نزدیکتر,نزدیک‌تر
نزدیک تر,نزدیک‌تر
نزدیکترین,نزدیک‌ترین
نزدیک ترین,نزدیک‌ترین
نزدیکیها,نزدیکی‌ها
نزدیکی ها,نزدیکی‌ها
نژاد ها,نژادها
نژاد های,نژادهای
نسخه ای,نسخه‌ای
نسخه های,نسخه‌های
نسخه ی,نسخه‌ی
نسلها,نسل‌ها
نسل ها,نسل‌ها
نسلهای,نسل‌های
نسل های,نسل‌های
نسلهایی,نسل‌هایی
نسل هایی,نسل‌هایی
نسنجیده ی,نسنجیده‌ی
نشاندهی,نشان دهی
نشانها,نشان‌ها
نشان ها,نشان‌ها
نشانه ای,نشانه‌ای
نشانه گذاری,نشانه‌گذاری
نشانه ها,نشانه‌ها
نشانه های,نشانه‌های
نشانه هایی,نشانه‌هایی
نشانه ی,نشانه‌ی
نشده اند,نشده‌اند
نشده ای,نشده‌ای
نشسته ای,نشسته‌ای
نشیمن گاه,نشیمنگاه
نشینها,نشین‌ها
نشین ها,نشین‌ها
نظاممند,نظام‌مند
نظام مند,نظام‌مند
نظامنامه,نظام‌نامه
نظام نامه,نظام‌نامه
نظرانه ی,نظرانه‌ی
نظر تون,نظرتون
نظر خواهی,نظرخواهی
نظرخواهیها,نظرخواهی‌ها
نظرخواهی ها,نظرخواهی‌ها
نظر های,نظرهای
نظریه پرداز,نظریه‌پرداز
نظریه ی,نظریه‌ی
نظمنویسان,نظم نویسان
نعره ی,نعره‌ی
نعمتالله,نعمت‌الله
نعمت الله,نعمت‌الله
نعمتهای,نعمت‌های
نعمت های,نعمت‌های
نعمتهایی,نعمت‌هایی
نعمت هایی,نعمت‌هایی
نفرتانگیز,نفرت‌انگیز
نفرت انگیز,نفرت‌انگیز
نفسنفس,نفس‌نفس
نفس نفس,نفس‌نفس
نفسهای,نفس‌های
نفس های,نفس‌های
نفوذ پذیر,نفوذپذیر
نفوذ نا پذیر,نفوذناپذیر
نفوذ ها,نفوذها
نقاشها,نقاش‌ها
نقاش ها,نقاش‌ها
نقاشیی,نقاشی
نقاشیخط,نقاشی خط
نقاشیهای,نقاشی‌های
نقاشی های,نقاشی‌های
نقاله ی,نقاله‌ی
نقره ای,نقره‌ای
نقشه برداری,نقشه‌برداری
نقشه ریزی,نقشه‌ریزی
نقشه های,نقشه‌های
نقشه ی,نقشه‌ی
نقصدار,نقص‌دار
نقص دار,نقص‌دار
نقطه ای,نقطه‌ای
نقطه چین,نقطه‌چین
نقطه های,نقطه‌های
نقطه ی,نقطه‌ی
نقلوانتقالات,نقل و انتقالات
نقلیه ی,نقلیه‌ی
نقیضهای,نقیض‌های
نقیض های,نقیض‌های
نقیضه ی,نقیضه‌ی
نکته ای,نکته‌ای
نکته ی,نکته‌ی
نکرده ام,نکرده‌ام
نکرده اند,نکرده‌اند
نکرده ای,نکرده‌ای
نکرده اید,نکرده‌اید
نکرده ایم,نکرده‌ایم
نکوهشآمیز,نکوهش‌آمیز
نکوهش آمیز,نکوهش‌آمیز
نگاهداشتند,نگاه داشتند
نگاهداشتن,نگاه‌داشتن
نگاه داشتن,نگاه‌داشتن
نگاههای,نگاه‌های
نگاه های,نگاه‌های
نگرانکننده,نگران‌کننده
نگران کننده,نگران‌کننده
نگرانکننده ی,نگران‌کننده‌ی
نگران کننده‌ی,نگران‌کننده‌ی
نگران کننده ی,نگران‌کننده‌ی
نگران‌کننده ی,نگران‌کننده‌ی
نگرانیهای,نگرانی‌های
نگرانی های,نگرانی‌های
نگهدارد,نگه دارد
نگهداشتند,نگه داشتند
نگهمیدارم,نگه می‌دارم
نگه می دارم,نگه می‌دارم
نگهمیدارند,نگه می‌دارند
نگه می دارند,نگه می‌دارند
نمامیکند,نما می‌کند
نما می کند,نما می‌کند
نما تر,نماتر
نماد ها,نمادها
نما های,نماهای
نمایانتر,نمایان‌تر
نمایان تر,نمایان‌تر
نمایشنامه های,نمایش‌نامه‌های
نمایش‌نامه های,نمایش‌نامه‌های
نمایش نامه‌های,نمایش‌نامه‌های
نمایش نامه های,نمایش‌نامه‌های
نمایشنامه ی,نمایشنامه‌ی
نمایشهای,نمایش‌های
نمایش های,نمایش‌های
نماینده ی,نماینده‌ی
نمدمانند,نمد مانند
نمردیمو,نمردیم و
نمره ی,نمره‌ی
نمکزده,نمک‌زده
نمک زده,نمک‌زده
نمکناشناسی,نمک‌ناشناسی
نمک ناشناسی,نمک‌ناشناسی
نمکنشناسی,نمک‌نشناسی
نمک نشناسی,نمک‌نشناسی
نمنم,نم‌نم
نم نم,نم‌نم
نموده اند,نموده‌اند
نمونه ای,نمونه‌ای
نمونه ها,نمونه‌ها
نمونه های,نمونه‌های
نمونه ی,نمونه‌ی
نمیامد,نمی‌آمد
نمی آمد,نمی‌آمد
نمیآمد,نمی‌آمد
نمیآمدند,نمی‌آمدند
نمی آمدند,نمی‌آمدند
نمیآموزند,نمی‌آموزند
نمی آموزند,نمی‌آموزند
نمیآورد,نمی‌آورد
نمی آورد,نمی‌آورد
نمیآوردم,نمی‌آوردم
نمی آوردم,نمی‌آوردم
نمیآورم,نمی‌آورم
نمی آورم,نمی‌آورم
نمیآوریدش,نمی‌آوریدش
نمی آوریدش,نمی‌آوریدش
نمیآید,نمی‌آید
نمی آید,نمی‌آید
نمیآیی,نمی‌آیی
نمی آیی,نمی‌آیی
نمی اد,نمیاد
نمی آد,نمیاد
نمیارزد,نمی‌ارزد
نمی ارزد,نمی‌ارزد
نمیارزه,نمی‌ارزه
نمی ارزه,نمی‌ارزه
نمی ارن,نمیارن
نمی آرن,نمیارن
نمی اره,نمیاره
نمی آره,نمیاره
نمی اری,نمیاری
نمی آری,نمیاری
نمیایستاد,نمی‌ایستاد
نمی ایستاد,نمی‌ایستاد
نمیایم,نمی‌ایم
نمی ایم,نمی‌ایم
نمیبازد,نمی‌بازد
نمی بازد,نمی‌بازد
نمیباشد,نمی‌باشد
نمی باشد,نمی‌باشد
نمیبرد,نمی‌برد
نمی برد,نمی‌برد
نمیبینم,نمی‌بینم
نمی بینم,نمی‌بینم
نمیبینن,نمی‌بینن
نمی بینن,نمی‌بینن
نمیبینه,نمی‌بینه
نمی بینه,نمی‌بینه
نمیبینی,نمی‌بینی
نمی بینی,نمی‌بینی
نمیبینید,نمی‌بینید
نمی بینید,نمی‌بینید
نمیپذیرد,نمی‌پذیرد
نمی پذیرد,نمی‌پذیرد
نمیپذیرم,نمی‌پذیرم
نمی پذیرم,نمی‌پذیرم
نمیپذیرند,نمی‌پذیرند
نمی پذیرند,نمی‌پذیرند
نمیپردازم,نمی‌پردازم
نمی پردازم,نمی‌پردازم
نمیپرسیدی,نمی‌پرسیدی
نمی پرسیدی,نمی‌پرسیدی
نمیپرند,نمی‌پرند
نمی پرند,نمی‌پرند
نمیپسندیدند,نمی‌پسندیدند
نمی پسندیدند,نمی‌پسندیدند
نمیترسم,نمی‌ترسم
نمی ترسم,نمی‌ترسم
نمیترسید,نمی‌ترسید
نمی ترسید,نمی‌ترسید
نمیترسیدم,نمی‌ترسیدم
نمی ترسیدم,نمی‌ترسیدم
نمیتوان,نمی‌توان
نمی توان,نمی‌توان
نمیتواند,نمی‌تواند
نمی تواند,نمی‌تواند
نمیتوانست,نمی‌توانست
نمی توانست,نمی‌توانست
نمیتوانستم,نمی‌توانستم
نمی توانستم,نمی‌توانستم
نمی توانستند,نمی‌توانستند
نمیتوانستیم,نمی‌توانستیم
نمی توانستیم,نمی‌توانستیم
نمیتوانم,نمی‌توانم
نمی توانم,نمی‌توانم
نمیتوانند,نمی‌توانند
نمی توانند,نمی‌توانند
نمیتوانندخودشان,نمی‌توانند خودشان
نمی توانند خودشان,نمی‌توانند خودشان
نمیتوانی,نمی‌توانی
نمی توانی,نمی‌توانی
نمیتوانید,نمی‌توانید
نمی توانید,نمی‌توانید
نمیتوانیم,نمی‌توانیم
نمی توانیم,نمی‌توانیم
نمیتونم,نمی‌تونم
نمی تونم,نمی‌تونم
نمیتونن,نمی‌تونن
نمی تونن,نمی‌تونن
نمیتونه,نمی‌تونه
نمی تونه,نمی‌تونه
نمیتونی,نمی‌تونی
نمی تونی,نمی‌تونی
نمیتونید,نمی‌تونید
نمی تونید,نمی‌تونید
نمیتونیم,نمی‌تونیم
نمی تونیم,نمی‌تونیم
نمیتونین,نمی‌تونین
نمی تونین,نمی‌تونین
نمیجوشد,نمی‌جوشد
نمی جوشد,نمی‌جوشد
نمیخاد,نمی‌خاد
نمی خاد,نمی‌خاد
نمیخای,نمی‌خای
نمی خای,نمی‌خای
نمیخرم,نمی‌خرم
نمی خرم,نمی‌خرم
نمیخندم,نمی‌خندم
نمی خندم,نمی‌خندم
نمیخندید,نمی‌خندید
نمی خندید,نمی‌خندید
نمیخوابم,نمی‌خوابم
نمی خوابم,نمی‌خوابم
نمیخوابه,نمی‌خوابه
نمی خوابه,نمی‌خوابه
نمیخواد,نمی‌خواد
نمی خواد,نمی‌خواد
نمیخواست,نمی‌خواست
نمی خواست,نمی‌خواست
نمیخواستند,نمی‌خواستند
نمی خواستند,نمی‌خواستند
نمیخام,نمی‌خوام
نمی خوام,نمی‌خوام
نمیخوام,نمی‌خوام
نمیخواند,نمی‌خواند
نمی خواند,نمی‌خواند
نمیخوانند,نمی‌خوانند
نمی خوانند,نمی‌خوانند
نمیخواهد,نمی‌خواهد
نمی خواهد,نمی‌خواهد
نمیخواهم,نمی‌خواهم
نمی خواهم,نمی‌خواهم
نمیخواهند,نمی‌خواهند
نمی خواهند,نمی‌خواهند
نمیخواهیم,نمی‌خواهیم
نمی خواهیم,نمی‌خواهیم
نمیخوای,نمی‌خوای
نمی خوای,نمی‌خوای
نمیخای,نمی‌خوای
نمیخورد,نمی‌خورد
نمی خورد,نمی‌خورد
نمیخورن,نمی‌خورن
نمی خورن,نمی‌خورن
نمیخورند,نمی‌خورند
نمی خورند,نمی‌خورند
نمیخوره,نمی‌خوره
نمی خوره,نمی‌خوره
نمیداد,نمی‌داد
نمی داد,نمی‌داد
نمیدادند,نمی‌دادند
نمی دادند,نمی‌دادند
نمیدارد,نمی‌دارد
نمی دارد,نمی‌دارد
نمیداره,نمی‌داره
نمی داره,نمی‌داره
نمیداند,نمی‌داند
نمی داند,نمی‌داند
نمیدانست,نمی‌دانست
نمی دانست,نمی‌دانست
نمیدانستم,نمی‌دانستم
نمی دانستم,نمی‌دانستم
نمیدانستیم,نمی‌دانستیم
نمی دانستیم,نمی‌دانستیم
نمیدانم,نمی‌دانم
نمی دانم,نمی‌دانم
نمیدانند,نمی‌دانند
نمی دانند,نمی‌دانند
نمیدانی,نمی‌دانی
نمی دانی,نمی‌دانی
نمیدانید,نمی‌دانید
نمی دانید,نمی‌دانید
نمیدانیم,نمی‌دانیم
نمی دانیم,نمی‌دانیم
نمیدرخشد,نمی‌درخشد
نمی درخشد,نمی‌درخشد
نمیدزدد,نمی‌دزدد
نمی دزدد,نمی‌دزدد
نمیدم,نمی‌دم
نمی دم,نمی‌دم
نمیدهد,نمی‌دهد
نمی دهد,نمی‌دهد
نمیدهم,نمی‌دهم
نمی دهم,نمی‌دهم
نمیدهند,نمی‌دهند
نمی دهند,نمی‌دهند
نمیدونستم,نمی‌دونستم
نمی دونستم,نمی‌دونستم
نمیدونم,نمی‌دونم
نمی دونم,نمی‌دونم
نمیدونن,نمی‌دونن
نمی دونن,نمی‌دونن
نمیدونند,نمی‌دونند
نمی دونند,نمی‌دونند
نمیدونه,نمی‌دونه
نمی دونه,نمی‌دونه
نمیدونی,نمی‌دونی
نمی دونی,نمی‌دونی
نمیدی,نمی‌دی
نمی دی,نمی‌دی
نمیرساند,نمی‌رساند
نمی رساند,نمی‌رساند
نمیرسد,نمی‌رسد
نمی رسد,نمی‌رسد
نمیرسند,نمی‌رسند
نمی رسند,نمی‌رسند
نمیرسه,نمی‌رسه
نمی رسه,نمی‌رسه
نمیرسید,نمی‌رسید
نمی رسید,نمی‌رسید
نمیرسیدند,نمی‌رسیدند
نمی رسیدند,نمی‌رسیدند
نمیرفتم,نمی‌رفتم
نمی رفتم,نمی‌رفتم
نمیرفتن,نمی‌رفتن
نمی رفتن,نمی‌رفتن
نمیرقصم,نمی‌رقصم
نمی رقصم,نمی‌رقصم
نمیرم,نمی‌رم
نمی رم,نمی‌رم
نمیرود,نمی‌رود
نمی رود,نمی‌رود
نمی ریم,نمی‌ریم
نمیزارم,نمی‌زارم
نمی زارم,نمی‌زارم
نمیزارین,نمی‌زارین
نمی زارین,نمی‌زارین
نمیزد,نمی‌زد
نمی زد,نمی‌زد
نمیزند,نمی‌زند
نمی زند,نمی‌زند
نمیزنند,نمی‌زنند
نمی زنند,نمی‌زنند
نمیسازد,نمی‌سازد
نمی سازد,نمی‌سازد
نمیشدو,نمی‌شد و
نمی شد و,نمی‌شد و
نمیشدند,نمی‌شدند
نمی شدند,نمی‌شدند
نمیشدیم,نمی‌شدیم
نمی شدیم,نمی‌شدیم
نمیشم,نمی‌شم
نمی شم,نمی‌شم
نمیشمرند,نمی‌شمرند
نمی شمرند,نمی‌شمرند
نمیشن,نمی‌شن
نمی شن,نمی‌شن
نمیشناخت,نمی‌شناخت
نمی شناخت,نمی‌شناخت
نمیشناسد,نمی‌شناسد
نمی شناسد,نمی‌شناسد
نمیشناسم,نمی‌شناسم
نمی شناسم,نمی‌شناسم
نمیشنود,نمی‌شنود
نمی شنود,نمی‌شنود
نمیشنوم,نمی‌شنوم
نمی شنوم,نمی‌شنوم
نمیشنوه,نمی‌شنوه
نمی شنوه,نمی‌شنوه
نمیشه,نمی‌شه
نمی شه,نمی‌شه
نمیشود,نمی‌شود
نمی شود,نمی‌شود
نمیشوند,نمی‌شوند
نمی شوند,نمی‌شوند
نمیشوید,نمی‌شوید
نمی شوید,نمی‌شوید
نمیشیم,نمی‌شیم
نمی شیم,نمی‌شیم
نمیفروشیم,نمی‌فروشیم
نمی فروشیم,نمی‌فروشیم
نمیفهمد,نمی‌فهمد
نمی فهمد,نمی‌فهمد
نمیفهمم,نمی‌فهمم
نمی فهمم,نمی‌فهمم
نمیفهمیدم,نمی‌فهمیدم
نمی فهمیدم,نمی‌فهمیدم
نمیکرد,نمی‌کرد
نمی کرد,نمی‌کرد
نمیکردم,نمی‌کردم
نمی کردم,نمی‌کردم
نمیکردند,نمی‌کردند
نمی کردند,نمی‌کردند
نمیکرده,نمی‌کرده
نمی کرده,نمی‌کرده
نمیکردی,نمی‌کردی
نمی کردی,نمی‌کردی
نمیکشد,نمی‌کشد
نمی کشد,نمی‌کشد
نمیکشند,نمی‌کشند
نمی کشند,نمی‌کشند
نمیکشی,نمی‌کشی
نمی کشی,نمی‌کشی
نمیکند,نمی‌کند
نمی کند,نمی‌کند
نمیکنم,نمی‌کنم
نمی کنم,نمی‌کنم
نمیکنن,نمی‌کنن
نمی کنن,نمی‌کنن
نمیکنند,نمی‌کنند
نمی کنند,نمی‌کنند
نمیکنه,نمی‌کنه
نمی کنه,نمی‌کنه
نمیکنی,نمی‌کنی
نمی کنی,نمی‌کنی
نمیکنید,نمی‌کنید
نمی کنید,نمی‌کنید
نمیکنیم,نمی‌کنیم
نمی کنیم,نمی‌کنیم
نمیگذارد,نمی‌گذارد
نمی گذارد,نمی‌گذارد
نمیگذاشت,نمی‌گذاشت
نمی گذاشت,نمی‌گذاشت
نمیگذاشتند,نمی‌گذاشتند
نمی گذاشتند,نمی‌گذاشتند
نمیگذرد,نمی‌گذرد
نمی گذرد,نمی‌گذرد
نمیگرفت,نمی‌گرفت
نمی گرفت,نمی‌گرفت
نمیگفت,نمی‌گفت
نمی گفت,نمی‌گفت
نمیگفتم,نمی‌گفتم
نمی گفتم,نمی‌گفتم
نمیگم,نمی‌گم
نمی گم,نمی‌گم
نمیگن,نمی‌گن
نمی گن,نمی‌گن
نمیگنجد,نمی‌گنجد
نمی گنجد,نمی‌گنجد
نمیگنجید,نمی‌گنجید
نمی گنجید,نمی‌گنجید
نمیگوید,نمی‌گوید
نمی گوید,نمی‌گوید
نمیگی,نمی‌گی
نمی گی,نمی‌گی
نمیگیرد,نمی‌گیرد
نمی گیرد,نمی‌گیرد
نمیگیره,نمی‌گیره
نمی گیره,نمی‌گیره
نمیماند,نمی‌ماند
نمی ماند,نمی‌ماند
نمیمونه,نمی‌مونه
نمی مونه,نمی‌مونه
نمیمیرد,نمی‌میرد
نمی میرد,نمی‌میرد
نمیندازیم,نمی‌ندازیم
نمی ندازیم,نمی‌ندازیم
نمینشیند,نمی‌نشیند
نمی نشیند,نمی‌نشیند
نمییابد,نمی‌یابد
نمی یابد,نمی‌یابد
نمییابیم,نمی‌یابیم
نمی یابیم,نمی‌یابیم
نمییاین,نمی‌یاین
نمی یاین,نمی‌یاین
ننگآمیز,ننگ‌آمیز
ننگ آمیز,ننگ‌آمیز
ننگآور,ننگ‌آور
ننگ آور,ننگ‌آور
ننوشته ام,ننوشته‌ام
نهادهاند,نهاده‌اند
نهاده اند,نهاده‌اند
نهاد های,نهادهای
نهانکار,نهان کار
نهانتر,نهان‌تر
نهان تر,نهان‌تر
نهانسازی,نهان‌سازی
نهان سازی,نهان‌سازی
نهایی مان,نهاییمان
نهر ها,نهرها
نهفته ای,نهفته‌ای
نهفته ی,نهفته‌ی
نهنگها,نهنگ‌ها
نهنگ ها,نهنگ‌ها
نهنگهای,نهنگ‌های
نهنگ های,نهنگ‌های
نو آور,نوآور
نوآورانه ی,نوآورانه‌ی
نوآوری مان,نوآوریمان
نوآوریهای,نوآوری‌های
